Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context,,,
e2cf3b24ccd4737975e6902302f3086ae1437fd90fbe60aae72fd03602bcad26,2019-04,Cleveland Police,Cleveland Police,-1.247263,54.710051,On or near Lindisfarne Close,E01033465,Hartlepool 001F,Burglary,Unable to prosecute suspect,,,,
5f84e5dd4aea23976da33de29f61269af8e71536b5c0424b4db82cbe577ece5b,2019-04,Cleveland Police,Cleveland Police,-1.229238,54.711142,On or near Dowson Road,E01011953,Hartlepool 002B,Burglary,Unable to prosecute suspect,,,,
52f0a04759a1a1fa6c4e21d901fd303fa06a5dfef69ed45e8b51719405e4a388,2019-04,Cleveland Police,Cleveland Police,-1.229752,54.70862,On or near West View Road,E01011953,Hartlepool 002B,Burglary,Investigation complete; no suspect identified,,,,
7396626083897c8205261cd3041374f6975431e4835bc2140a0acee904379830,2019-04,Cleveland Police,Cleveland Police,-1.218468,54.705384,On or near Warren Road,E01011992,Hartlepool 002D,Burglary,Court result unavailable,,,,
75fc3d97bf3f267326ba998644d631a297fd247d2db3b516d7e9cc3a5229412b,2019-04,Cleveland Police,Cleveland Police,-1.214807,54.706906,On or near Police Station,E01011992,Hartlepool 002D,Burglary,Investigation complete; no suspect identified,,,,
5b3d988aa42996ff92fef834ced956d9f26e4c16ed92b1ff99f16b44f726203b,2019-04,Cleveland Police,Cleveland Police,-1.185868,54.701216,On or near Sea View Terrace,E01011993,Hartlepool 002E,Burglary,Unable to prosecute suspect,,,,
dfdf9cf504f8e0b537c30a168dd598c98c57d94b8e264839f14b53d35dc54ca4,2019-04,Cleveland Police,Cleveland Police,-1.208942,54.70126,On or near Mountbatten Close,E01011994,Hartlepool 002F,Burglary,Investigation complete; no suspect identified,,,,
c0a86760605c066613beb660aa18b8e4f08b7ad046aaefb2dbd90a626962ffc8,2019-04,Cleveland Police,Cleveland Police,-1.216769,54.692109,On or near Grainger Street,E01011955,Hartlepool 003A,Burglary,Investigation complete; no suspect identified,,,,
d391c54dc4ab7c4200a08653e4605ac7c12df1bee253aa9990afcaed3d35e8bc,2019-04,Cleveland Police,Cleveland Police,-1.2286,54.699796,On or near Jesmond Gardens,E01032540,Hartlepool 003G,Burglary,Investigation complete; no suspect identified,,,,
60fd980840b77f945b2dccfa6e02b2cee2191361d0ea956dbd451f3d7c7f4f5c,2019-04,Cleveland Police,Cleveland Police,-1.221666,54.69888,On or near A179,E01033466,Hartlepool 003I,Burglary,Investigation complete; no suspect identified,,,,
11db3c58f5facf306774de61793c921c98373f697bef386158a96e2273b95024,2019-04,Cleveland Police,Cleveland Police,-1.222804,54.697764,On or near Hazel Grove,E01033466,Hartlepool 003I,Burglary,Investigation complete; no suspect identified,,,,
e655e3bf8373e979f2eb0af4838d630c492f2d3959c1f3500eb59e5718ab4575,2019-04,Cleveland Police,Cleveland Police,-1.221666,54.69888,On or near A179,E01033466,Hartlepool 003I,Burglary,Investigation complete; no suspect identified,,,,
4b14afc022a5bca85bafc9a10d271bd9dfb7ac17c79adbe0cd96a2b9d44aef06,2019-04,Cleveland Police,Cleveland Police,-1.220392,54.690065,On or near Jobson Street,E01011973,Hartlepool 005A,Burglary,Investigation complete; no suspect identified,,,,
